No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8837,4.073277,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8838,4.073393,3521639917,2203667408,10,64,209.231.245.237,131.89.75.208,,,,,
8839,4.074173,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8840,4.074222,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8841,4.074271,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8842,4.07432,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8843,4.07455,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8844,4.07499,3296060531,3308263953,11,146,196.117.228.115,197.48.26.17,,,,,
8845,4.07569,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8846,4.075918,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8847,4.076035,1515783243,2203711357,10,134,90.89.4.75,131.89.247.125,,,,,
8848,4.076553,2203664931,3375374709,10,78,131.89.66.35,201.48.33.117,,,,,
8849,4.076954,2203709475,3643796969,10,70,131.89.240.35,217.47.237.233,,,,,
8850,4.077068,2203711357,1515783243,10,70,131.89.247.125,90.89.4.75,,,,,
8851,4.077467,3487246351,2203667416,10,1438,207.219.40.15,131.89.75.216,,,,,
8852,4.077584,3487246351,2203667416,10,70,207.219.40.15,131.89.75.216,,,,,
8853,4.078342,2203667416,3487246351,10,70,131.89.75.216,207.219.40.15,,,,,
8854,4.078358,2203667416,3487246351,10,82,131.89.75.216,207.219.40.15,,,,,
8855,4.078887,3487246351,2203667416,10,1325,207.219.40.15,131.89.75.216,,,,,
8856,4.078994,3378060498,2203667416,10,70,201.89.28.210,131.89.75.216,,,,,
8857,4.079691,2203667416,3487246351,10,70,131.89.75.216,207.219.40.15,,,,,
8858,4.080315,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8859,4.080555,2203689285,3579400688,10,64,131.89.161.69,213.89.81.240,,,,,
8860,4.081356,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8861,4.081762,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8862,4.081879,1145971535,2203712435,10,66,68.78.35.79,131.89.251.179,,,,,
8863,4.081886,3476974053,2203667416,10,70,207.62.105.229,131.89.75.216,,,,,
8864,4.081893,3476974053,2203667416,10,70,207.62.105.229,131.89.75.216,,,,,
8865,4.0819,3476974053,2203667416,10,82,207.62.105.229,131.89.75.216,,,,,
8866,4.081908,1148337643,2203678859,10,66,68.114.61.235,131.89.120.139,,,,,
8867,4.081915,2495770905,3296060531,4,74,148.194.113.25,196.117.228.115,,,,,
8868,4.082386,2203667416,3476974053,10,70,131.89.75.216,207.62.105.229,,,,,
8869,4.082409,2203667416,3476974053,10,70,131.89.75.216,207.62.105.229,,,,,
8870,4.082416,3296060531,3308263953,11,64,196.117.228.115,197.48.26.17,,,,,
8871,4.082595,2203667416,3487246351,10,70,131.89.75.216,207.219.40.15,,,,,
8872,4.08291,2203684463,52736419,11,738,131.89.142.111,3.36.177.163,,,,,
8873,4.08297,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8874,4.083568,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8875,4.08463,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8876,4.084953,2203667416,3301181582,10,70,131.89.75.216,196.196.8.142,,,,,
8877,4.085154,3579350585,3296060491,10,1518,213.88.142.57,196.117.228.75,,,,,
8878,4.085823,2203667416,3476974053,10,605,131.89.75.216,207.62.105.229,,,,,
8879,4.086525,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8880,4.087069,2203664892,2310268484,2,79,131.89.65.252,137.179.230.68,,,,,
